SITE CODE= 8A4óOíJí¨êVí¨                ,38.1033,142.8600, 24,9.0,40613.6154873, 24.87, 42.94
 LAT.=   38.5401
 LON.=  141.1272
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
-0.024,0.008,-0.016
-0.026,-0.016,-0.006
-0.013,0.001,0.002
-0.018,0.008,0.001
-0.006,0.010,-0.001
0.005,0.001,0.002
0.008,0.002,0.013
0.012,0.020,0.021
0.008,0.015,0.013
0.019,0.004,0.005
0.012,0.001,0.006
0.016,0.012,-0.001
0.022,0.016,-0.002
0.006,0.002,-0.002
-0.001,-0.005,-0.014
-0.012,-0.018,-0.020
-0.011,-0.007,-0.014
-0.004,0.005,-0.008
0.005,-0.016,-0.009
0.014,-0.004,-0.005
0.004,-0.001,-0.002
0.007,-0.005,-0.008
0.009,-0.009,-0.005
-0.006,-0.017,-0.002
-0.017,-0.007,-0.002
-0.012,-0.010,-0.005
-0.008,0.006,-0.017
-0.021,0.006,-0.021
-0.013,0.000,-0.017
-0.013,0.019,-0.026
-0.014,0.013,-0.033
0.005,0.009,-0.023
-0.002,0.009,-0.015
0.013,0.000,0.000
0.018,-0.010,0.014
0.009,-0.003,0.021
0.017,-0.011,0.022
0.000,-0.031,0.021
0.000,-0.006,0.032
0.002,0.002,0.023
-0.007,-0.007,0.010
-0.005,-0.005,0.009
-0.005,-0.009,0.006
0.004,0.005,0.007
-0.004,0.011,-0.006
-0.018,0.006,-0.023
0.004,0.005,-0.019
0.004,-0.003,-0.016
-0.013,0.017,-0.015
0.003,0.009,-0.007
0.011,-0.020,-0.002
0.013,-0.002,0.003
0.003,-0.025,0.003
0.005,-0.020,0.000
0.016,-0.006,-0.007
-0.008,-0.035,-0.009
0.007,-0.007,0.000
0.008,0.010,-0.009
-0.016,0.017,-0.017
0.007,0.030,-0.021
0.008,0.017,-0.018
0.007,0.011,-0.007
0.005,0.000,-0.008
-0.007,-0.007,-0.003
0.005,-0.019,0.007
-0.007,-0.024,0.005
0.003,-0.004,0.005
0.024,-0.004,0.005
0.008,0.006,0.005
0.011,0.020,0.006
0.010,-0.001,0.002
0.004,0.008,0.003
-0.005,0.004,-0.003
-0.027,-0.013,-0.011
-0.013,-0.007,-0.003
-0.010,-0.016,-0.006
-0.027,0.005,-0.020
-0.004,0.007,-0.017
0.011,-0.007,-0.005
0.016,0.007,0.003
0.022,0.007,0.006
0.012,0.023,0.007
0.006,0.004,0.013
0.004,-0.019,0.015
-0.010,-0.002,0.008
-0.014,-0.016,0.000
-0.018,-0.018,-0.014
-0.014,-0.004,-0.013
-0.002,0.010,-0.002
0.000,0.029,-0.001
0.012,0.023,0.002
0.007,0.010,0.003
0.002,0.006,0.003
-0.002,0.010,-0.002
-0.021,-0.019,-0.012
0.009,-0.026,-0.008
0.000,-0.011,-0.014
-0.005,-0.033,-0.016
0.029,0.000,-0.007
0.014,0.014,-0.004
0.014,0.007,0.000
-0.002,0.029,-0.005
-0.016,0.011,-0.007
0.011,0.013,0.003
-0.005,0.012,-0.001
-0.009,-0.002,-0.003
-0.004,0.005,-0.003
-0.002,-0.003,-0.007
0.012,-0.004,0.005
-0.011,-0.004,0.008
-0.004,-0.014,0.006
0.014,-0.009,0.007
-0.014,0.007,-0.009
-0.001,0.006,-0.012
0.016,-0.001,-0.002
0.004,-0.003,-0.006
0.014,0.002,-0.005
0.009,0.007,-0.009
0.001,-0.001,-0.011
-0.001,-0.013,-0.001
0.003,-0.010,-0.002
0.009,0.002,-0.005
-0.002,0.002,-0.005
0.000,0.001,-0.003
0.020,0.005,0.004
0.021,0.010,0.001
0.009,0.002,0.006
-0.007,-0.008,0.006
-0.027,-0.005,-0.005
-0.022,-0.010,0.002
-0.025,0.002,-0.002
-0.021,0.004,-0.007
0.006,-0.007,-0.009
0.007,0.012,-0.009
0.004,0.021,0.001
0.002,0.008,-0.002
-0.002,-0.008,0.000
-0.005,-0.019,0.006
-0.003,-0.013,0.000
0.000,-0.011,-0.002
-0.005,-0.024,-0.008
0.004,-0.012,-0.009
0.005,0.002,-0.002
-0.004,0.004,-0.002
0.007,0.018,0.002
0.003,0.014,0.001
-0.009,0.007,-0.007
0.002,0.012,-0.009
-0.009,0.008,-0.017
-0.016,-0.002,-0.018
-0.011,0.000,-0.018
-0.013,-0.005,-0.017
0.007,-0.018,-0.010
0.004,0.001,-0.009
0.003,0.007,-0.002
0.030,-0.005,0.009
0.025,0.002,0.011
0.014,0.007,0.002
0.003,0.006,-0.001
-0.004,-0.012,0.008
0.001,-0.029,0.013
-0.016,-0.027,0.010
-0.009,-0.023,0.005
-0.001,-0.005,-0.004
0.005,-0.007,-0.009
0.026,-0.001,-0.011
0.013,0.015,-0.015
0.014,0.010,-0.016
0.013,0.005,-0.014
-0.001,-0.004,-0.005
0.007,-0.002,0.005
-0.011,-0.004,0.003
-0.012,-0.006,-0.003
0.014,-0.005,0.000
0.005,-0.010,0.008
-0.006,-0.003,0.012
-0.012,-0.002,0.005
-0.007,0.004,0.010
-0.006,-0.008,0.012
-0.009,0.001,-0.003
0.007,0.017,-0.009
0.003,0.002,-0.012
0.008,0.008,-0.014
0.005,-0.007,-0.018
-0.012,-0.014,-0.019
-0.014,0.000,-0.013
-0.018,-0.007,-0.013
-0.013,-0.010,-0.015
-0.002,-0.018,-0.011
0.004,-0.006,-0.001
-0.002,0.008,0.007
0.005,0.004,0.005
0.024,-0.001,0.004
0.011,0.009,0.001
-0.002,0.032,-0.007
-0.006,0.025,-0.007
-0.009,0.005,-0.003
-0.015,0.001,-0.008
-0.016,-0.004,-0.008
-0.010,-0.008,-0.007
-0.011,-0.013,-0.002
0.007,-0.027,0.010
0.001,-0.008,0.001
-0.015,0.000,-0.009
-0.002,-0.016,0.000
-0.008,-0.010,0.003
-0.002,-0.008,-0.002
0.011,0.000,-0.003
0.007,-0.001,-0.002
0.015,-0.004,0.002
0.023,-0.011,0.007
