sample.csv,,,,,,,
ÉgÉäÉKéûçè '''18-09-24 09:55:00s,,,,,,,
,,,,,,,
Ch,Mode,Range,Scaling,Ratio,Offset,,
CH1-1-1,îMìdëŒ,500 Åé f.s.,OFF,-,-,,CH1-1-1[Åé]
CH1-1-2,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-2[Åé]
CH1-1-3,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-3[Åé]
CH1-1-4,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-4[V]
CH1-1-5,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-5[V]
CH1-1-6,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-6[V]
CH1-1-7,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-7[V]
,,,,,,,
Time,CH1-1-1[Åé],CH1-1-2[Åé],CH1-1-3[Åé],CH1-1-4[V],CH1-1-5[V],CH1-1-6[V],CH1-1-7[V]
'18-09-24 09:56:01s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:02s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:03s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:04s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:05s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:06s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:07s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:08s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:09s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:10s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:11s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:12s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:13s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:14s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:15s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:16s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:17s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:18s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:19s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:20s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:21s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:22s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:23s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:24s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:25s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
'18-09-24 09:56:26s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.07E+01
