sample.csv,,,,,,,
ÉgÉäÉKéûçè '''18-09-24 09:55:00s,,,,,,,
,,,,,,,
Ch,Mode,Range,Scaling,Ratio,Offset,,
CH1-1-1,îMìdëŒ,500 Åé f.s.,OFF,-,-,,CH1-1-1[Åé]
CH1-1-2,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-2[Åé]
CH1-1-3,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-3[Åé]
CH1-1-4,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-4[V]
CH1-1-5,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-5[V]
CH1-1-6,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-6[V]
CH1-1-7,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-7[V]
,,,,,,,
Time,CH1-1-1[Åé],CH1-1-2[Åé],CH1-1-3[Åé],CH1-1-4[V],CH1-1-5[V],CH1-1-6[V],CH1-1-7[V]
'18-09-24 11:15:38s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:39s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:40s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:41s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:42s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:43s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:44s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:45s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:46s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:47s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:48s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:49s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:50s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:51s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:52s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:53s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:54s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:55s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:56s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:57s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:58s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:15:59s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:00s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:01s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:02s,2.61E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:03s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:04s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:05s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:06s,2.61E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:07s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:08s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:09s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:10s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:11s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:12s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:13s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:14s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:15s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:16s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:17s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:18s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:19s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:20s,2.60E+01,2.11E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:21s,2.60E+01,2.11E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:22s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:23s,2.60E+01,2.12E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:24s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:25s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:26s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:27s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:28s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:29s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:30s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:31s,2.61E+01,2.12E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:32s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:33s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:34s,2.61E+01,2.12E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:35s,2.61E+01,2.12E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:36s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:37s,2.61E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:38s,2.61E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:39s,2.61E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:40s,2.61E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:41s,2.61E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:42s,2.61E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:43s,2.61E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:44s,2.61E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:45s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:46s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:47s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:48s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:49s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:50s,2.60E+01,2.18E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:51s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:52s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:53s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:54s,2.60E+01,2.18E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:55s,2.60E+01,2.18E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:56s,2.60E+01,2.18E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:57s,2.60E+01,2.18E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:58s,2.60E+01,2.18E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:16:59s,2.60E+01,2.15E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:00s,2.60E+01,2.15E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:01s,2.60E+01,2.15E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:02s,2.60E+01,2.15E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:03s,2.60E+01,2.18E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:04s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:05s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:06s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:07s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:08s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:09s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:10s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:11s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:12s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:13s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:14s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:15s,2.61E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:16s,2.61E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:17s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:18s,2.61E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:19s,2.61E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:20s,2.61E+01,2.18E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:21s,2.61E+01,2.18E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:22s,2.61E+01,2.18E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:23s,2.61E+01,2.18E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:24s,2.61E+01,2.18E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:25s,2.61E+01,2.18E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:26s,2.60E+01,2.18E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:27s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:28s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:29s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:30s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:31s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:32s,2.61E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:33s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:34s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:35s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:36s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:37s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:38s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:39s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:40s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:41s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:42s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:43s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:44s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:45s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:46s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:47s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:48s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:49s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:50s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:51s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:52s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:53s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:54s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:55s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:56s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:57s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:58s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:17:59s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:00s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:01s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:02s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:03s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:04s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:05s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:06s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:07s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:08s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:09s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:10s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:11s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:12s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:13s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:14s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:15s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:16s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:17s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:18s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:19s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:20s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:21s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:22s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:23s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:24s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:25s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:26s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:27s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:28s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:29s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:30s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:31s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:32s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:33s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:34s,2.60E+01,2.10E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:35s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:36s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:37s,2.61E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:38s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:39s,2.60E+01,2.12E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:40s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:41s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:42s,2.60E+01,2.18E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:43s,2.60E+01,2.13E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:44s,2.60E+01,2.12E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:45s,2.60E+01,2.12E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:46s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:47s,2.60E+01,2.11E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:48s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:49s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:50s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:51s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:52s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:53s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:54s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:55s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:56s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:57s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:58s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:18:59s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:00s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:01s,2.60E+01,2.11E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:02s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:03s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:04s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:05s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:06s,2.60E+01,2.12E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:07s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:08s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:09s,2.60E+01,2.12E+01,2.47E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:10s,2.60E+01,2.12E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
'18-09-24 11:19:11s,2.60E+01,2.13E+01,2.48E+01,2.08E+01,2.08E+01,2.03E+01,2.03E+01
