更新日時,全体,大阪府,京都府,兵庫県,奈良県,滋賀県,和歌山県,福井県,岐阜県,三重県
2022-02-12 21:51,30,0,0,30,0,0,0,0,0,0
2022-02-12 21:54,30,0,0,30,0,0,0,0,0,0
2022-02-12 21:57,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:00,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:03,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:06,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:09,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:12,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:15,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:18,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:21,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:24,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:27,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:30,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:33,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:36,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:39,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:42,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:45,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:48,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:51,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:54,30,0,0,30,0,0,0,0,0,0
2022-02-12 22:57,30,0,0,30,0,0,0,0,0,0
2022-02-12 23:00,30,0,0,30,0,0,0,0,0,0
2022-02-13 12:42,60,0,60,0,0,0,0,0,0,0
2022-02-13 12:45,60,0,60,0,0,0,0,0,0,0
2022-02-13 12:48,60,0,60,0,0,0,0,0,0,0
2022-02-13 12:51,60,0,60,0,0,0,0,0,0,0
2022-02-13 12:54,60,0,60,0,0,0,0,0,0,0
2022-02-13 12:57,60,0,60,0,0,0,0,0,0,0
2022-02-13 13:00,60,0,60,0,0,0,0,0,0,0
2022-02-13 13:03,60,0,60,0,0,0,0,0,0,0
2022-02-13 13:06,140,0,60,0,0,0,0,0,0,80
2022-02-13 13:09,140,0,60,0,0,0,0,0,0,80
2022-02-13 13:12,140,0,60,0,0,0,0,0,0,80
2022-02-13 13:15,140,0,60,0,0,0,0,0,0,80
2022-02-13 13:18,140,0,60,0,0,0,0,0,0,80
2022-02-13 13:21,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:24,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:27,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:30,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:33,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:36,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:39,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:42,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:45,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:48,180,0,60,40,0,0,0,0,0,0
2022-02-13 13:51,120,0,0,40,0,0,0,0,0,80
2022-02-13 13:54,120,0,0,40,0,0,0,0,0,80
2022-02-13 13:57,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:00,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:03,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:06,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:09,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:12,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:15,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:18,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:21,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:24,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:27,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:30,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:33,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:36,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:39,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:42,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:45,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:48,120,0,0,40,0,0,0,0,0,80
2022-02-13 14:51,130,0,0,50,0,0,0,0,0,80
2022-02-13 14:54,130,0,0,50,0,0,0,0,0,80
2022-02-13 14:57,130,0,0,50,0,0,0,0,0,80
2022-02-13 15:00,130,0,0,50,0,0,0,0,0,80
2022-02-13 15:03,130,0,0,50,0,0,0,0,0,80
2022-02-13 15:06,130,0,0,50,0,0,0,0,0,80
2022-02-13 15:09,90,0,0,10,0,0,0,0,0,80
2022-02-13 15:12,90,0,0,10,0,0,0,0,0,80
2022-02-13 15:15,90,0,0,10,0,0,0,0,0,80
2022-02-13 15:18,90,0,0,10,0,0,0,0,0,80
2022-02-13 15:21,90,0,0,10,0,0,0,0,0,80
2022-02-13 15:24,90,0,0,10,0,0,0,0,0,80
2022-02-13 15:27,10,0,0,10,0,0,0,0,0,0
2022-02-13 15:30,10,0,0,10,0,0,0,0,0,0
2022-02-13 15:33,10,0,0,10,0,0,0,0,0,0
2022-02-13 15:36,10,0,0,10,0,0,0,0,0,0
2022-02-13 15:39,10,0,0,10,0,0,0,0,0,0
2022-02-13 15:42,10,0,0,10,0,0,0,0,0,0
2022-02-13 15:45,10,0,0,10,0,0,0,0,0,0
2022-02-13 15:48,10,0,0,10,0,0,0,0,0,0
2022-02-13 17:12,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:15,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:18,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:21,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:24,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:27,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:30,330,0,0,330,0,0,0,0,0,0
2022-02-13 17:33,330,0,0,330,0,0,0,0,0,0
